day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
0,19.081667997347964,-5720.946615997619,6738.4255042493205,-2036.5703819070227,2103.418331724257
1,41.67622330614614,-16519.188553442065,21817.894728196974,-6341.259346517341,6357.908413548529
2,59.62667636500974,-21717.513160939347,31591.488829708225,-8667.145555274119,9112.92189191647
3,86.19888824522023,-27578.30330958426,41312.48888284918,-10465.935364857549,11266.893597854418
4,116.71020945248057,-29197.24562631363,48416.476484121406,-11961.01894143071,13088.98148823181
5,141.90204048919728,-32699.960757300247,60482.679647925805,-13230.013854242645,14705.41817674611
6,162.03997334585014,-36636.7357144612,59464.53134149365,-14420.943170090637,16163.89372425253
7,182.0655614227258,-38249.85654285864,71592.49082092944,-15496.12433975132,17521.45675589644
8,205.36665062701405,-40969.81696669482,63210.88330588589,-16496.847664283516,18808.990971264808
9,226.04827983461132,-44194.644906763955,71131.12770885727,-17427.288593808527,20039.485977475924
10,247.25465066343625,-45777.17348646547,81642.92748722389,-18295.39753240814,21215.739158211127
11,267.3057948651909,-49384.307124492654,80668.09518396786,-18987.1307197782,21946.129649464023
12,282.2821646735813,-52056.35659538969,86047.21275850196,-19788.55820366027,22988.652893068625
13,303.25962652411755,-56576.36953646368,87486.61422558445,-20525.408776117576,24018.817790001453
14,329.76638254383477,-53884.34266573201,86824.99341670175,-21223.320927315403,25051.873346738907
15,354.2497035822888,-52222.25541434637,93368.03122553564,-21889.279896543572,26027.535065200147
16,376.24678766264594,-53877.08125847809,95835.53983569717,-22521.25851830162,26994.526240691986
17,391.92975469035275,-56643.7853377348,100218.0248534302,-23178.96325118584,27919.302761725383
18,415.48594968673643,-58567.977323345105,107306.54833462765,-23785.500456988982,28820.62079846318
19,439.19794097160457,-60314.867660162585,122115.92246224501,-24379.67619462544,29702.555647922596
20,464.18931005977674,-61281.50270786953,129616.8869698991,-24965.403626107836,30571.120435486002
21,480.4219391784398,-62092.28102252035,128807.02533159044,-25421.916962308806,31256.672826109047
22,497.39818867579714,-61785.06587694421,125987.3714501476,-25956.110439471668,32021.149927772734
23,519.8514158602381,-59924.579455741085,121467.18172342125,-26478.33215279411,32826.323047452905
24,540.6004170719623,-60276.722063617584,124109.45279095671,-27008.979533009195,33623.37611382743
25,559.3474898297903,-60642.01164616596,136020.03328162944,-27506.699224016822,34459.4993983782
26,576.4170301920769,-62030.84553464768,140335.50130214271,-27975.961283487006,35211.858212738385
27,596.3374603320905,-62176.85340674204,136909.74276687801,-28468.204650430584,36011.77874307069
28,612.7626053754212,-60994.68280849819,146231.21915586884,-28897.14055925152,36707.85994540594
29,639.5816232984653,-62759.90990841222,152645.60902810266,-29361.42483746674,37470.495400682514
30,658.9436401674652,-62466.4207155122,144809.21799497263,-29802.05617591452,38178.45414018714
31,681.3029607372115,-62690.23336363394,153413.0207316163,-30145.170926937037,38758.85176813102
32,702.2448873212377,-63517.36073296593,175821.69819538217,-30573.128867685216,39381.72622153467
33,726.8206724327176,-66671.54189006049,183067.21715237343,-30965.666015674462,40080.07078568591
34,743.7025246963817,-69374.32351098834,183462.31928102247,-31362.957168170375,40730.07023550031
35,764.6856473582578,-68585.87565187183,193367.26433658839,-31759.13873957612,41468.383302364055
36,792.0842624150289,-67110.48001312217,212844.43817371703,-32174.119851254683,42117.85878478606
37,812.3539798828093,-67997.01516599044,223175.59144779018,-32536.70421619386,42784.36174422744
38,827.1400006970607,-67718.00614619764,237521.75943683402,-32931.332496412746,43398.813223337915
39,849.5141815454697,-68941.25948353905,241052.83456959494,-33297.861701768335,44028.26847722526
40,867.8882195181382,-68126.00810617616,234669.26005269864,-33654.814285425025,44696.56365833941
41,890.3005167115817,-68020.4770590449,253893.23239314763,-33960.90228568328,45208.50776622845
42,915.3093873652692,-67612.60824795425,245670.8791934002,-34274.25999915769,45861.21550787358
43,931.7085680812056,-69360.03633500554,254703.99592200204,-34590.49588191329,46403.702896717055
44,942.675528169062,-69587.03977742713,283269.8468344612,-34964.23661999963,47014.39548165504
45,963.3609231084736,-69007.21602587336,272068.8457472942,-35300.45451805721,47638.9160147907
46,984.4690706904125,-70155.72721306741,254933.20165669758,-35633.63594519854,48261.000346397865
47,1006.1295222648123,-70064.87884771204,253461.75979111,-35937.099222552904,48875.93037576969
48,1024.1496994089925,-70167.03974048792,232642.09309198658,-36252.335782193295,49506.26493883758
49,1044.399494804695,-70972.78161432232,239086.47315713414,-36582.234240817736,50140.329234235476
50,1064.1292141440367,-72495.29639809506,246178.02217417,-36888.99583082509,50764.28467071173
51,1082.3474881668635,-73742.05640484228,253633.41413232803,-37179.58077323993,51318.454403004514
52,1110.7389315328735,-74535.73465727728,257720.5514305455,-37457.56775356497,51829.31036433934
53,1129.900024817559,-75057.46430777403,266915.03297282,-37724.50367229252,52343.19569007969
54,1153.0481896831272,-74720.70220662582,264457.530770176,-38050.61009010729,52883.84816615605
55,1173.0719795330544,-73956.4572877543,278272.0754806289,-38356.45134741968,53428.744973789166
56,1198.977745837139,-75804.59202523244,291801.0788623072,-38641.366818909635,54108.62673139083
57,1220.761656350866,-74862.03701577634,300894.6708253418,-38920.99360876219,54688.204574264804
58,1246.7472063416922,-76261.64198352606,305305.34088097,-39210.101991920594,55294.22228812977
59,1275.6758493320715,-77310.79283062776,305309.4121562199,-39484.56091012446,55889.63077239721
60,1307.0597238029916,-78828.92895212214,280425.33172874013,-39753.922037064454,56479.658421892556
61,1320.4587422506524,-77700.35295948361,280521.95060744433,-40005.428026222864,56997.004857798245
62,1340.8479290918551,-76705.70435067473,287640.2655276486,-40239.793045029684,57470.049419757954
63,1358.3650557251665,-76715.3039680967,294886.93910711404,-40504.941370657594,57990.64661413934
64,1376.3576426680468,-77960.81103637724,306314.43164484965,-40755.51960225394,58401.04505811547
65,1400.6573151119667,-78477.5219870042,306800.8076530964,-40993.75053141028,58942.238266721164
66,1419.3721800411925,-78997.64327442215,307946.5930723581,-41284.118155833436,59461.6299005614
67,1446.1625220158255,-79707.7407849981,314606.6630097756,-41537.39691107209,60034.70687958367
68,1471.9728713975423,-80738.41302456796,311870.4765357946,-41770.261889366164,60716.35119632596
69,1498.4496446130706,-79957.47172275813,331456.9059467299,-42027.60109002973,61280.30530572459
70,1517.9114857396153,-80682.96525763397,313016.67682522285,-42266.81002418025,61855.57392264497
71,1537.6285565941062,-80701.47858920874,314086.92455686355,-42498.373487774574,62379.900497239185
72,1552.828693039741,-80352.39661571987,323336.07324649254,-42705.68234961265,62818.97620006082
73,1578.0379928212878,-79599.18886955704,326355.3380577281,-42934.32821196852,63296.33757481487
74,1595.6245691356542,-81091.55675755099,333683.0475997965,-43178.01692745248,63712.86820011147
75,1617.318708407634,-81857.82737944431,333569.39070259145,-43403.437721137925,64181.99099093413
76,1641.7698604233678,-80712.0299098346,346537.4261406008,-43592.163712707516,64786.38605240627
77,1660.167571037164,-80534.3552878236,340975.9910179873,-43850.25884103106,65249.932269064324
