day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
0,19.729358891584305,-6233.552715653062,7283.546989316705,-2038.416359314354,2102.081648871244
1,42.012834694251936,-18418.57051528646,20529.283067712982,-6372.410618568706,6349.22388282694
2,61.19695601640292,-23739.759904659495,27999.939493768878,-8683.079871385966,9121.295848997479
3,81.48859825538221,-27594.93316697255,40884.82021884389,-10462.158219892295,11260.622540482162
4,95.0481879217161,-37139.87712424478,44779.61670396894,-11963.968398811921,13055.0951404663
5,113.53081283129663,-37248.67716304827,52998.24393214615,-13281.679829961005,14659.309639462619
6,129.02868329125752,-39869.21830757943,53319.516529829685,-14462.412115037101,16151.309304013748
7,153.36973182250108,-40313.14205431469,61293.02443213345,-15537.673278487284,17522.3924889512
8,169.3350500877809,-40256.88757426615,67340.59126003618,-16549.68987085761,18773.253650347622
9,188.01438526335164,-41425.98873631864,73876.91761446152,-17461.37523839646,19993.617553056134
10,211.47825778108097,-44301.05163608311,79574.95984223906,-18324.540371509145,21118.37048495317
11,230.98873185509564,-45198.238365395984,83724.96326830992,-19013.161429468746,21874.334048348832
12,249.3333315924184,-46510.221712243256,81067.39516269778,-19785.755330260577,22909.467603623063
13,268.5607893086689,-47524.408825951316,87852.3259339991,-20526.09792467893,23938.18147270615
14,278.82827972985785,-48415.65783064805,110395.7896793513,-21242.47379596609,24928.106813630886
15,294.55753301565295,-50668.583351158726,121474.19997990096,-21956.70805738857,25897.97482741895
16,316.3292113408473,-52149.78492557638,112033.46313608094,-22587.652773640173,26847.7002402061
17,338.11681614605845,-53246.590764336346,106549.8666954519,-23208.07239426078,27795.532863502485
18,355.72095314289106,-55822.95519567455,115051.66423202747,-23801.903579173897,28657.887029425718
19,367.3189933529419,-55847.61387616802,122531.59624941523,-24401.410538781744,29491.182792802407
20,385.23974915495216,-55812.4681322892,120491.54821828123,-24957.572153417746,30342.127886777394
21,407.68683678366847,-58709.660877447015,119608.19414002149,-25437.56689399942,31044.05517842425
22,429.5263523284285,-59724.58708324402,123347.62704280126,-25968.05430743535,31790.857250347457
23,448.841346057136,-59303.79831420936,121169.24051969843,-26439.46152762594,32562.887333136012
24,468.0384501641464,-61045.724757650976,121893.38558842702,-26982.653033613668,33391.45550337031
25,492.46503442460244,-62128.29798351386,130732.5867394669,-27493.202525557175,34191.37709951324
26,511.76686948553396,-64491.88676782225,139616.7858429465,-27952.857433065376,34933.516001203345
27,530.8319400852562,-65323.52016239673,153381.25033252317,-28418.858856835846,35677.402348651296
28,553.1105362684402,-65849.95848477814,145952.321842339,-28858.902774027225,36413.90144638492
29,568.4113276706341,-63706.616769682594,157457.5083510133,-29316.881728810436,37138.295774099955
30,592.7548784677974,-64095.54020590309,168384.2450260321,-29749.796408010992,37905.58384375047
31,612.1360866850697,-62890.53192385563,167028.02114118368,-30139.3747733289,38524.516967125346
32,635.3811573476437,-63947.537762929795,168720.408539401,-30507.21084182793,39140.78296948507
33,657.1852816423585,-64864.831790842574,158723.49373211557,-30949.92117314925,39778.71406584002
34,683.4093860977235,-65356.329691540894,160920.58734171063,-31357.265560305656,40534.07932809895
